"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"Barakhamba Avenue, Connaught Place","Hotel","The Lalit Hotel",28.63111018,77.22744966,"4bb46ce087aa95219724add1","New Delhi","Delhi","Hotel","Hotels","null","Barakhamba Avenue, Connaught Place","India","Barakhamba Avenue, Connaught Place"
"Plot No. 360-362, Sector 29","Hotel","Country Inn & Suites By Carlson Gurgaon Sector 29",28.4620392,77.0676877,"4bb953173db7b713273d229a","New Delhi","Delhi","Hotel","Hotels","null","Plot No. 360-362, Sector 29",122001,"Plot No. 360-362, Sector 29"
"Aerocity","B & B","Hotel Pride Plaza",28.55287242,77.12291625,"565f3abd498e385c1e2bb314","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Aerocity","null","Aerocity"
"New Delhi","B & B","Pacific Inn Eden Royal",28.46410639,77.04969737,"5597e725498e5df6654ca915","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","The krishna Inn",28.583587,77.249739,"526e7b82498e589ac69d11f0","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"A.K.Market","B & B","VV inn",28.64201927,77.21620941,"4fa7a5dce4b0a34ac9204307","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","1015, Gali Mantola Main Bazar, Pahar Ganj, New Delhi",110055,"1015, Gali Mantola Main Bazar, Pahar Ganj, New Delhi"
"Sector 92","Hotel","Kwi Bin Kwan Hotel",28.51811218,77.3978653,"50188fb4e4b0deb6b21a0ee1","New Delhi","Delhi","Hotel","Hotels","Sector 92","Zion/Sherwood Tower, O-maxe Forest (Sector 92)","null","Zion/Sherwood Tower, O-maxe Forest"
"Gurgaon","B & B","Airtel Guest House",28.44493135,77.05959726,"4d278de83c795481e0a6c59b","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Gurgaon","null","null"
"New Delhi","B & B","Bansal Bed And Breakfast",28.570067,77.265215,"4eaee2cc5c5ce6e506a38c63","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Delhi","null","null"
"DLF Phase 3","B & B","Casa D'or",28.49718676,77.10026766,"4f03ac50e30090dfdb27252e","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","DLF Phase 3","17, Moulsari Avenue, DLF Phase 3 (DLF Phase 3)","null","17, Moulsari Avenue, DLF Phase 3"
"New Delhi","B & B","Ganga International House",28.63421016,77.16193824,"4e6eda7752b1706317970fc6","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","New Delhi","null","null"
"near Electric Sub Station, C-Block, Sector-44","B & B","Hotel Green View Residency",28.55421221,77.33627588,"508aaf09e4b02ba9b0ef52a0","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","near Electric Sub Station, C-Block, Sector-44","null","near Electric Sub Station, C-Block, Sector-44"
"Sector 27","B & B","Siesta Hotel",28.57476588,77.3324621,"52861aab11d2b716ed4ea0d9","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Sector 27","Ashok Marg, A-1 (Sector 27)","null","Ashok Marg, A-1"
"New Delhi","B & B","Hotel Karina",28.54161889,77.29285316,"50c715e8e4b0d67752124897","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"Defence Colony","B & B","Stallen Hospitality",28.57659146,77.26073433,"4fc49781e4b035d6cb172744","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Defence Colony","A 153 (Defence Colony)","null","A 153"
"Paschim Marg, DLF City Phase 1","B & B","Seven Seas",28.46970146,77.09549651,"4ed08b1af5b9832ada6364a9","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Paschim Marg, DLF City Phase 1","B/18/12 (Paschim Marg, DLF City Phase 1)","null","B/18/12"
"New Delhi","B & B","BnB dwaraka",28.5932654,77.0401531,"4f6d8645e4b060033268512f","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"Ignou Road","B & B","Slumber Bed and Breakfast",28.51727348,77.20571806,"516bf238e4b0ea0f63ec7380","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Ignou Road","Anupum Enclave (Ignou Road)","null","Anupum Enclave"
"Karol Bagh","B & B","Ramanujams",28.65194381,77.18937833,"521aa84611d2fceee561ac50","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Karol Bagh","null","Karol Bagh"
"New Delhi","B & B","Crown plaza",28.71919415,77.20884537,"5176dea6e4b0ae385afa3414","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Sun Villa Gurgaon",28.484546,77.084928,"57194060498e61b0fd63b5ec","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"12 Shamnath Marg","B & B","Shamnath Vila",28.68061143,77.22497471,"4f4fdcaae4b03cdd7a98dbb7","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","12 Shamnath Marg","null","12 Shamnath Marg"
"C Blcok","B & B","Executive Suites",28.4518644,77.08104143,"52deb6e011d217ce4703cce0","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","C Blcok",122002,"C Blcok"
"7a/2 Channa Market W.E.A. Karol Bagh","B & B","The Hospitality Home Bed & Breakfast",28.645964,77.184434,"51b7b84a498eb3038735b7bc","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","7a/2 Channa Market W.E.A. Karol Bagh","null","7a/2 Channa Market W.E.A. Karol Bagh"
"New Delhi","B & B","Hotel Gulnar",28.645625,77.183888,"50994f56e4b0b01feeff2609","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"A-13, Green Wood City Sector-45,","B & B","Aju Japanese Hotel",28.44558048,77.06300592,"4e2671f445ddb79afc61b225","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","A-13, Green Wood City Sector-45,","null","A-13, Green Wood City Sector-45,"
"Near Indus Valley Public School","B & B","Hotel Green View Palace",28.61724064,77.35501204,"56634fe9498e7b597648d7f9","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Near Indus Valley Public School","null","Near Indus Valley Public School"
"Old Delhi Road","B & B","Grand Hotel",28.46981747,77.04122681,"4f11984ae4b0f2c2117ef58e","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Old Delhi Road","null","Old Delhi Road"
"Baroda House","B & B","Cp Villa Bed & Breakfast",28.635216,77.207285,"5c8d33ea5ba046002ccf182b","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","7A Doctor Lane",110001,"7A Doctor Lane"
"Gurgaon Road","Hotel","Hotel Prince",28.540467,77.130551,"5c8a105cfb8e59002cc35b5f","New Delhi","Delhi","Hotel","Hotels","null","New Delhi 110037",110037,"null"
"East Patel Nagar","B & B","Hotel Regent Grand",28.64316037,77.17307566,"51a05fbc498e3030abbe73c9","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","East Patel Nagar","null","East Patel Nagar"
"Sec 45, Gurgaon","B & B","Imperial Park",28.4522287,77.0666304,"4f2d630ae4b00ef1a507af6d","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Sec 45, Gurgaon","null","Sec 45, Gurgaon"
"New Delhi","B & B","Hotel La Vista",28.64882462,77.19839634,"505136ece4b0313e6d03453e","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Hotel Le Seasons, Delhi",28.54726888,77.12544345,"4ecc7851775b0e780d439336","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Crowne Plaza Day Gurgaon",28.46834893,77.05941321,"5075b50de4b00408325a0d07","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Rams Inn",28.631476,77.214317,"4fbcfd64e4b0d3faf0ab82fe","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","hotel c inn",28.51324654,77.47106934,"520bb6ae11d2f389195a2ad4","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Hotel Freesia",28.56711177,77.22802853,"564c2d4e498ef866db2e8cfc","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Sky View Hotel",28.64220178,77.21979874,"51692512e4b00d4e3acf3b59","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Hotel Geeta Sar",28.64423752,77.21746063,"53a98947498e3afd64d07bf3","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"Anand Parbat","B & B","Tomarhospitality- Hotel SPB 87 Delhi",28.64486552,77.18987703,"5412f45b498edd3411326ca9","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","Near Karol Bagh Metro Station","17A/2, West Extension Area Karol Bagh, Pillar No-98 & 99 (Near Karol Bagh Metro Station)",110005,"17A/2, West Extension Area Karol Bagh, Pillar No-98 & 99"
"112A, B-block, Sector 44","B & B","Hanvit Guesthouse",28.58228207,77.37588127,"51101da0e4b0b55944cedd48","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","112A, B-block, Sector 44","null","112A, B-block, Sector 44"
"Good Earth City Centre, Opposite Malibu Commercial Complex, Sector 50","B & B","Hotel Formule 1",28.42170287,77.05288499,"545dad1e498edba916d5f7df","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","Good Earth City Centre, Opposite Malibu Commercial Complex, Sector 50",122018,"Good Earth City Centre, Opposite Malibu Commercial Complex, Sector 50"
"New Delhi","B & B","Hotel Lohmod",28.55088348,77.13026701,"4f32c212e4b0ef2eb7dd0f98","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","Tree Of Life",28.52602561,77.20582474,"4eb9e58ab8f765de71e57bb1","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"Andrewsganj","B & B","National Insurance Company Guest House Asiad Village",28.546915,77.2167,"59d77fd0dab4b158b78d000e","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","New Delhi 110049",110049,"null"
"Delhi High Court","B & B","Red Maple",28.573635,77.219617,"4f1e23eae4b0d98f4c6f9875","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","49 Amrit Nagar",110003,"49 Amrit Nagar"
"New Delhi","B & B","Ananda Bed & Breakfast",28.53605892,77.24603553,"52dbd6c011d2ade68afd0e66","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","B & B","metropolis guest house",28.640013,77.21014,"56ff5376cd1037ef015ece63","New Delhi","Delhi","Bed & Breakfast","Bed & Breakfasts","null","India","null","null"
"New Delhi","Pharmacy","Apollo Pharmacy",28.6348371,77.21761488,"4f05f77d29c22bbeff554636","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Sector 31","Pharmacy","Deepanshi Medicos",28.453635,77.051526,"56b76bfb498e2be2b19fd352","New Delhi","Delhi","Pharmacy","Pharmacies","null","Sector 31","null","Sector 31"
"Gurugram 122001","Pharmacy","Sewati Medicose",28.449514,77.05705,"5c51b6cfc58ed7002cec5466","New Delhi","Delhi","Pharmacy","Pharmacies","null","Gurugram 122001",122001,"null"
"New Delhi","Pharmacy","Bonton",28.63486142,77.28466156,"521876ff498e58df21e8cbf5","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"New Delhi","Pharmacy","Religare Wellness",28.48047638,77.08809662,"5018db4ae4b08659764cf942","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Dabri","Pharmacy","Aggarwal medicos",28.60139837,77.08380107,"4ff45a0ee4b0aeae9d3e94ef","New Delhi","Delhi","Pharmacy","Pharmacies","Pocket 6, Dwarka","Nasirpur (Pocket 6, Dwarka)",110045,"Nasirpur"
"Noida 201301","Pharmacy","Apollo PHARMACY",28.56833,77.318068,"5b251e6ac876c8002cef10d1","New Delhi","Delhi","Pharmacy","Pharmacies","null","Noida 201301",201301,"null"
"2, Plot No. - 96, Sector - 15, Jharsa Road","Pharmacy","Apollo Pharmacy",28.453482,77.0514,"52b1e261498e9cef18ab84d5","New Delhi","Delhi","Pharmacy","Pharmacies","null","2, Plot No. - 96, Sector - 15, Jharsa Road","null","2, Plot No. - 96, Sector - 15, Jharsa Road"
"New Delhi","Pharmacy","Popular Medicos",28.57367,77.230333,"4c5e8ff12815c928aff4b767","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"New Delhi","Pharmacy","Apollo Medical Store",28.60551491,77.29013204,"4f9ea69ee4b020e61150336e","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Shopping Mall, Arjun Marg","Pharmacy","Religare Wellness",28.46593727,77.0993042,"4c3b2f2cd94dc9b6725affe7","New Delhi","Delhi","Pharmacy","Pharmacies","null","Shopping Mall, Arjun Marg","null","Shopping Mall, Arjun Marg"
"New Delhi","Pharmacy","Baxico Medicate",28.5674847,77.24956027,"511c84e8e4b017a41d58d169","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Amarpali Greens","Pharmacy","Religare Wellness",28.6317383,77.3659754,"4e147efae4cd473c9690393a","New Delhi","Delhi","Pharmacy","Pharmacies","null","Amarpali Greens","null","Amarpali Greens"
"C.C.I.","Pharmacy","Vasundhra chemist",28.68107605,77.20698547,"4fd47f89e4b02119797a395d","New Delhi","Delhi","Pharmacy","Pharmacies","Jawahar Nagar","Bunglow Road (Jawahar Nagar)",110007,"Bunglow Road"
"DLF Sec IV","Pharmacy","Apollo Pharmacy",28.45730072,77.08408208,"4fe6af59e4b01b7b6c253d13","New Delhi","Delhi","Pharmacy","Pharmacies","DLF Sec IV","Sushant Vyapar Kendra (DLF Sec IV)","null","Sushant Vyapar Kendra"
"New Delhi","Pharmacy","Guardian Pharmacy",28.40606504,77.04233236,"4e5638b9a809ca773dfd04fe","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Masood Pur","Pharmacy","Religare Wellness -Vasant Kunj B9",28.52708169,77.14882811,"4e02cf3fe4cdbd9a51759ad9","New Delhi","Delhi","Pharmacy","Pharmacies","null","2, Pocket 8 & 9, Vasant Kunj",110070,"2, Pocket 8 & 9, Vasant Kunj"
"Dwarka","Pharmacy","Health & Care",28.59541,77.048545,"5399cbf2498eda0a5f8291d1","New Delhi","Delhi","Pharmacy","Pharmacies","Dwarka","Sector 12 (Dwarka)","null","Sector 12"
"New Delhi","Pharmacy","Health Square",28.55255813,77.21139432,"4ee706e46da14e7d9c1f3cf8","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Shop Number 208, Vardhaman Cee Dee Plaza, Sector 11, Plot Number 6, Dwarka","Pharmacy","Art of living divine shop",28.59592297,77.04969175,"53535924498e42d9a1137c12","New Delhi","Delhi","Pharmacy","Pharmacies","null","Shop Number 208, Vardhaman Cee Dee Plaza, Sector 11, Plot Number 6, Dwarka","null","Shop Number 208, Vardhaman Cee Dee Plaza, Sector 11, Plot Number 6, Dwarka"
"New Delhi","Pharmacy","98.3 Pharmacy",28.56593259,77.24860052,"51111029e4b0e95e219de647","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"New Delhi","Pharmacy","R.K Medicos",28.605481,77.289162,"4fa2245ce4b07ed2182c45d2","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Saket","Food & Drink","J Block Market Saket",28.53627604,77.29502194,"4bd09eff9854d13a7e17f84d","New Delhi","Delhi","Food & Drink Shop","Food & Drink Shops","Saket","J Block Community Center (Saket)","null","J Block Community Center"
"New Delhi","Pharmacy","saket city hospital",28.52893849,77.21335372,"5178e499e4b0eafc77406fb7","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Vasant Vihar-1","Pharmacy","Religare Wellness - Palam Marg",28.57252984,77.16236511,"4e004b9baeb76b6109847327","New Delhi","Delhi","Pharmacy","Pharmacies","null","8, Palam Marg, Vasant Vihar",110057,"8, Palam Marg, Vasant Vihar"
"Qutab Plaza Market, DLF City, Phase - 1","Pharmacy","Body Care Chemists",28.47193568,77.1018362,"4c45b62c8c1f20a1d4233e99","New Delhi","Delhi","Pharmacy","Pharmacies","null","Qutab Plaza Market, DLF City, Phase - 1",122002,"Qutab Plaza Market, DLF City, Phase - 1"
"New Delhi","Pharmacy","Global Hospital",28.66561699,77.08251953,"510abb3ee4b0d3070a4f3f04","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"MG Road","Pharmacy",98.4,28.481197,77.086177,"4f4bc007e4b0b8ab49efdfa4","New Delhi","Delhi","Pharmacy","Pharmacies","MG Road","Central Arcade (MG Road)","null","Central Arcade"
"Greater Noida","Pharmacy","Ratan Medicos",28.47013836,77.50624816,"5101073ee4b0dbb0c5fe5f0f","New Delhi","Delhi","Pharmacy","Pharmacies","null","Greater Noida","null","null"
"Sushant Estate","Pharmacy","Twenty Twenty Pharmacy",28.444166,77.076006,"5017e099e4b0e3bcfc3498cf","New Delhi","Delhi","Pharmacy","Pharmacies","null","Sushant Estate","null","Sushant Estate"
"New Delhi","Pharmacy","shri kamal medicos- alaknanda",28.52806941,77.24802803,"4f2e5e7ee4b062ad2c0132f4","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"New Delhi","Pharmacy","Sunrise Medicos",28.59771,77.319997,"55fec61c498eb461205d42cb","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"New Delhi","Pharmacy","Bhandari Homeopathy",28.467296,77.082415,"55df130d498ef7a5c24b8684","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"New Delhi","Pharmacy","Apollo",28.7154912,77.1344893,"4e8ffe55b8f79f71de4feb22","New Delhi","Delhi","Pharmacy","Pharmacies","null","New Delhi","null","null"
"Jal Vayu Vihar Shopping Complex","Pharmacy","Super Medicos",28.57971684,77.33995199,"4ff5ad37e4b00ee3e5669268","New Delhi","Delhi","Pharmacy","Pharmacies","Jal Vayu Vihar Shopping Complex","Sector 25, Opposite Bal Bharti School (Jal Vayu Vihar Shopping Complex)",201301,"Sector 25, Opposite Bal Bharti School"
"Gurugram 122102","Pharmacy","Apollo Pharmacy",28.412792,77.055573,"59ca78a46c08d140cc469736","New Delhi","Delhi","Pharmacy","Pharmacies","null","Gurugram 122102",122102,"null"
"New Delhi","Pharmacy","Dev nagar karol bag new delhi",28.65328662,77.1872613,"4fabcce0e4b0be1a3d89cac5","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"Shopprix Mall","Pharmacy","Guardian Pharmacy",28.597078,77.364922,"51a5b6fb498e3a0a63e00a68","New Delhi","Delhi","Pharmacy","Pharmacies","null","Shopprix Mall","null","Shopprix Mall"
"DLF Plaza Market, DLF City Phase - 1","Pharmacy","98.4 Chemists",28.47116637,77.10200411,"4c6d5c50a437224bd6c82cb1","New Delhi","Delhi","Pharmacy","Pharmacies","null","DLF Plaza Market, DLF City Phase - 1",122002,"DLF Plaza Market, DLF City Phase - 1"
"New Delhi","Pharmacy","Nath Brothers",28.63485527,77.21760559,"4f708a72e4b0ca47b3aec2a7","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"F Block East of Kailash","Pharmacy","Apollo Pharmacy (24 Hour)",28.55434154,77.24330664,"4dc056c143a147cd6ed6c839","New Delhi","Delhi","Pharmacy","Pharmacies","null","F Block East of Kailash","null","F Block East of Kailash"
"South City Arcade","Pharmacy","Narayani Chemist",28.456903,77.06338,"5c2cdb6a4c954c002c9372ac","New Delhi","Delhi","Pharmacy","Pharmacies","null","South City Arcade",122003,"South City Arcade"
"Derawal Nagar","Pharmacy","Penta Medicos",28.699413,77.191689,"51507e76e4b05bcb36eca3d7","New Delhi","Delhi","Pharmacy","Pharmacies","Derawal Nagar","Vardhman Shopping Complex (Derawal Nagar)","null","Vardhman Shopping Complex"
"Gurugram 122018","Pharmacy","White Knight Medicos",28.421959,77.05249,"5aae0c01febf317377059832","New Delhi","Delhi","Pharmacy","Pharmacies","null","Gurugram 122018",122018,"null"
"Gurugram 122017","Pharmacy","Cambridge Chemist",28.510119,77.026718,"59a0f1aa75a6ea40d190d342","New Delhi","Delhi","Pharmacy","Pharmacies","null","Gurugram 122017",122017,"null"
"New Delhi","Pharmacy","Dev Medicos",28.70757062,77.16296609,"51168bd1e4b08106297ba637","New Delhi","Delhi","Pharmacy","Pharmacies","null","India","null","null"
"New Delhi","Grocery Store","Big Apple",28.64338367,77.21427446,"5128ae3ee4b069188c6334de","New Delhi","Delhi","Grocery Store","Grocery Stores","null","New Delhi",,"New Delhi"
"DLF City, Phase 1","Supermarket","Modern Bazaar",28.46644309,77.09912801,"4c9cb74a03133704beb057d5","New Delhi","Delhi","Supermarket","Supermarkets","DLF City, Phase 1","Shop #23-25, Shopping Mall, Arjun Marg (DLF City, Phase 1)",,"Shop #23-25, Shopping Mall, Arjun Marg"
"Jawahar Nagar","Grocery Store","24SEVEN",28.67873199,77.20803735,"4f4acef5e4b0eddb5396c7e1","New Delhi","Delhi","Grocery Store","Grocery Stores","Jawahar Nagar","SN 23, MCD No 5880, Gr Flr, Sai Dhaam, Near Malka Ganj Chowk (Jawahar Nagar)",,"SN 23, MCD No 5880, Gr Flr, Sai Dhaam, Near Malka Ganj Chowk"
"New Delhi","Grocery Store","Venkateswara Stores",28.4826196,77.49822288,"527642f511d2c881e00a3872","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"New Delhi","Grocery Store","Verma Store",28.51767579,77.24211217,"4f984a85e4b0bafe889f9ca2","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"Shop Number 2","Grocery Store","Republic of Chicken",28.63182384,77.0908713,"55689098498e15ee7b5ddf06","New Delhi","Delhi","Grocery Store","Grocery Stores","Shop Number 2","B2B/1 (Shop Number 2)",,"B2B/1"
"New Delhi","Grocery Store","Mother Dairy",28.65190645,77.35894843,"5176eb56e4b0025d299df880","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"Vijaynagar road","Grocery Store","Big Apple",28.69696838,77.20470742,"4f2a7e3ce4b012389a15301d","New Delhi","Delhi","Grocery Store","Grocery Stores","Vijaynagar road","Kingsway Camp,north Delhi (Vijaynagar road)",,"Kingsway Camp,north Delhi"
"New Delhi","Grocery Store","Safal",28.473339,77.104147,"4f937699e4b0ab5f0a12a7d9","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"New Delhi","Grocery Store","Radhe Krishna Mixture Shop",28.66898314,77.33049908,"511fa195e4b0841ee0fbf7d9","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"New Delhi","Grocery Store","Power Grid Market",28.4547364,77.07483622,"4fc0cecce4b08acaf460fe58","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"Saket","Grocery Store","Gourmet Food Bazaar",28.529142,77.219551,"4d9d77ce83f36ea8056eb894","New Delhi","Delhi","Grocery Store","Grocery Stores","Saket","Ground Floor, Select CityWalk (Saket)",,"Ground Floor, Select CityWalk"
"New Delhi","Grocery Store","Health is Wealth",28.573215,77.230439,"4eabcc996c250fcc74bf0ba7","New Delhi","Delhi","Grocery Store","Grocery Stores","null","Delhi",,"null"
"Bara bazaar road, old rajender nagar","Grocery Store","Big Apple",28.63990313,77.1828418,"506aacbae4b0499adeb07520","New Delhi","Delhi","Grocery Store","Grocery Stores","Bara bazaar road, old rajender nagar","Bara bazaar road, old rajender nagar",,"null"
"Vasant Vihar","Grocery Store","Daily Pick",28.55880289,77.16403887,"4f8aa1e4e4b0b1c4b0d4f219","New Delhi","Delhi","Grocery Store","Grocery Stores","Vasant Vihar","20-B, Community Center, Basant Lok Market (Vasant Vihar)",,"20-B, Community Center, Basant Lok Market"
"DLF Phase 1","Grocery Store","Fresh Produce Shoppe",28.46609989,77.09881217,"4ca0b497604c76b096fd957b","New Delhi","Delhi","Grocery Store","Grocery Stores","DLF Phase 1","Arjun Marg (DLF Phase 1)",,"Arjun Marg"
"Chaudhary Harsukh Singh Marg","Grocery Store","Reliance Fresh",28.56254664,77.19512276,"4c8651fcd92ea093e31d6d72","New Delhi","Delhi","Grocery Store","Grocery Stores","null","Chaudhary Harsukh Singh Marg",,"Chaudhary Harsukh Singh Marg"
"New Delhi","Grocery Store","Food bazar, shipra mall",28.63579173,77.3699046,"4de65ed5d1648041649dbf00","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"East Of Kailash","Supermarket","Sabka Bazar",28.55697075,77.24465847,"4eeaf1d7e3000c69e0fe981d","New Delhi","Delhi","Supermarket","Supermarkets","null","East Of Kailash",,"East Of Kailash"
"Gurugram 122018","Grocery Store","Planet Needs",28.419344,77.05226,"59998d5f8ad62e36c290c07d","New Delhi","Delhi","Grocery Store","Grocery Stores","null","Gurugram 122018",,"null"
"Gurugram 122018","Grocery Store","Modern Bazaar",28.427143,77.05715,"5c7b6ba4cad1b6002d18517c","New Delhi","Delhi","Grocery Store","Grocery Stores","null","Gurugram 122018",,"null"
"Gurgaon 122001","Grocery Store","Needs Gourmet Hypermart",28.40243978,77.04544146,"4eed9c610aaf1d45b222c171","New Delhi","Delhi","Grocery Store","Grocery Stores","null","Gurgaon 122001",,"null"
"New Delhi","Grocery Store","Modern Bazaar",28.593971,77.04329,"5843bb7b0393cc195f08a785","New Delhi","Delhi","Grocery Store","Grocery Stores","null","New Delhi 110075",,"null"
"Gurugram 122017","Convenience Store","24Seven",28.511343,77.039608,"5bba206ac58ed7002cb80b97","New Delhi","Delhi","Convenience Store","Convenience Stores","null","Gurugram 122017",,"null"
"Shiwailik road","Grocery Store","Daily needs ,Haus Khaz",28.54080093,77.21242175,"4f313709e4b0c190b8e81a95","New Delhi","Delhi","Grocery Store","Grocery Stores","Shiwailik road","Haus Khaz (Shiwailik road)",,"Haus Khaz"
"Munirka","Grocery Store","Keysi Market",28.54808865,77.167274,"4f3ac370e4b0039c25c7b3b9","New Delhi","Delhi","Grocery Store","Grocery Stores","Munirka","JNU (Munirka)",,"JNU"
"New Delhi","Grocery Store","Honey Money Top",28.457706,77.04463,"5b61c571e97dfb0037e33f0d","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"Lajpat nagar","Grocery Store","Safal Pure Veg - Central Market",28.568289,77.242156,"4d5d4b2b590b224bb967aa6d","New Delhi","Delhi","Grocery Store","Grocery Stores","null","Lajpat nagar",,"Lajpat nagar"
"New Delhi","Grocery Store","Sumitra",28.60286756,77.23745336,"4f2e396ee4b03caf53a8f392","New Delhi","Delhi","Grocery Store","Grocery Stores","null","India",,"null"
"New Delhi","Grocery Store","37 Krishna Super Marche Dwarka",28.595457,77.0412,"5bfd426daa6c95002cd86095","New Delhi","Delhi","Grocery Store","Grocery Stores","null","Delhi 110075",,"null"
"New Delhi","Organic Grocery","Patanjali Store",28.581652,77.071088,"5ec0cd5d9990b8000702522b","New Delhi","Delhi","Organic Grocery","Organic Groceries","null","New Delhi 110075",,"null"
"Dwarka","Grocery Store","More.",28.60454803,77.03683923,"539f0f96498e06f4cc8a8157","New Delhi","Delhi","Grocery Store","Grocery Stores","Dwarka","Hotel radisson blu (Dwarka)",,"Hotel radisson blu"
