"Neighborhood","Venue Category","Venue","location_address","Neighborhood_Latitude","Neighborhood_Longitude","id","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName","location_crossStreet","location_neighborhood",,,,,,,,
"SOBO Central","Fast Food","McDonald's","SOBO Central",18.97581153,72.81225851,"4b838dfaf964a520940931e3","null","Mumbai","Maharashtra","India","SOBO Central","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","SOBO Central",,,,,,,,
"Nepean Sea Road","Fast Food","Santosh Sagar","Matru Ashish",18.96117682,72.80142469,"4dcd55b8183899ddfab5e725","null","Mumbai","Maharashtra","India","Matru Ashish (Nepean Sea Road)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Nepean Sea Road","Nepean Sea Road",,,,,,,,
"Dahisar Link Rd.","Fast Food","McDonald's","Dahisar West",19.25807239,72.85293691,"4d124555ffa1224b3c0798ad","null","Mumbai","Maharashtra","India","Dahisar West (Dahisar Link Rd.)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Dahisar Link Rd.","Dahisar Link Rd.",,,,,,,,
"Lower Parel","Fast Food","McDonald's","Phoenix Mills",18.99446763,72.82441107,"4bf5f95e5efe2d7f1a7c6634",400013,"Mumbai","Maharashtra","India","Phoenix Mills (Lower Parel)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Lower Parel","Lower Parel",,,,,,,,
"Churchgate","Italian","Relish","Prem Court, Dinshaw Walcha Road",18.93032033,72.82636057,"4b0587d5f964a52085a322e3","400 020","Mumbai","Maharashtra","India","Prem Court, Dinshaw Walcha Road (Churchgate)","Italian Restaurant","Italian Restaurants","Italian","Churchgate","Churchgate",,,,,,,,
"11-A Tardeo Road","Juice Bar","Haji Ali Juice Centre","11-A Tardeo Road",18.97836176,72.81124762,"4b0587ccf964a5201ea222e3",400034,"Mumbai","Maharashtra","India","11-A Tardeo Road","Juice Bar","Juice Bars","Juice Bar","null","11-A Tardeo Road",,,,,,,,
"Pokhran Rd. No. 2","Fast Food","Prashant Corner","Pokhran Rd. No. 2",19.21939936,72.97023407,"4c8903fd7223b1f73a3230a8","null","Mumbai","Maharashtra","India","Pokhran Rd. No. 2","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","Pokhran Rd. No. 2",,,,,,,,
"Carter Rd., Bandra","Fried Chicken","Carter's Blue","off CCD",19.07078342,72.82304462,"4db04fc00cb6442b2eb5f646",400050,"Mumbai","Maharashtra","India","off CCD (Carter Rd., Bandra)","Fried Chicken Joint","Fried Chicken Joints","Fried Chicken","Carter Rd., Bandra","Carter Rd., Bandra",,,,,,,,
,"Pub","The Daily","null",19.06091704,72.83706984,"513601a1e4b09490b577429c","null","Mumbai","Maharashtra","India","Mumbai","Pub","Pubs","Pub","null",,,,,,,,,
"Vashi","Fast Food","Gupta Sandwich","Vashi Plaza, Sector 17",19.07400826,72.99950431,"4daad8af0437dccbd80eec0e",400705,"Mumbai","Maharashtra","India","Vashi Plaza, Sector 17 (Vashi)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Vashi","Vashi",,,,,,,,
"Ghatkopar (E)","Indian","Popular Hotel","Ghatkopar (E)",19.0821745,72.90973761,"4c1d931c63750f476994b867","null","Mumbai","Maharashtra","India","Ghatkopar (E)","Indian Restaurant","Indian Restaurants","Indian","null","Ghatkopar (E)",,,,,,,,
"Bhulabhai Desai Rd.","Fast Food","McDonald's","Sector 17, Vashi",19.0718856,72.99873259,"4cfb8989feec6dcb8b3a4736",400026,"Mumbai","Maharashtra","India","Sector 17, Vashi (Bhulabhai Desai Rd.)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Bhulabhai Desai Rd.","Bhulabhai Desai Rd.",,,,,,,,
"Panchal Nagar","Snacks","Jagdamba Bhelpuri and Sandwich Centre","Opp KT Vision Multi Plex",19.37737047,72.82786189,"4e83243dbe7b92ebc8bbb2e4",401201,"Mumbai","Maharashtra","India","Opp KT Vision Multi Plex (Panchal Nagar)","Snack Place","Snack Places","Snacks","Panchal Nagar","Panchal Nagar",,,,,,,,
"Airport","Sandwiches","Subway","null",19.09604953,72.87542952,"51047f42e4b040a889c049c8","null","Mumbai","Maharashtra","India","Mumbai","Sandwich Place","Sandwich Places","Sandwiches","null","Airport",,,,,,,,
,"Fast Food","McDonald's","null",19.3293577,72.89325589,"5718d988498ebb96ae57ced6","null","Mumbai","Maharashtra","India","India","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null",,,,,,,,,
,"Fast Food","Pic-A-Bite","null",19.37008268,72.81370581,"510d33a6e4b0c9edd6bc6360","null","Mumbai","Maharashtra","India","India","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null",,,,,,,,,
"Chhatrapati Shivaji International Airport","Fast Food","KFC","Terminal 2, Chhatrapati Shivaji International Airport",19.09598315,72.87451034,"5389dde0498e8301b3154466",400099,"Mumbai","Maharashtra","India","Terminal 2, Chhatrapati Shivaji International Airport","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","Chhatrapati Shivaji International Airport",,,,,,,,
"Nerul","Fast Food","McDonald's","Haware Centurion Mall",19.02428677,73.02238047,"53e2e916498ebd963af241d1","null","Mumbai","Maharashtra","India","Haware Centurion Mall (Nerul)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Nerul","Nerul",,,,,,,,
"off Goregaon Subway","Fast Food","Sapre","Aarey Rd",19.16662147,72.84754674,"4e7b4508aeb70c2b1be28e00",400062,"Mumbai","Maharashtra","India","Aarey Rd (off Goregaon Subway)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","off Goregaon Subway","off Goregaon Subway",,,,,,,,
"Sector 20 ,Koperkhairane","Fruit & Vegetable Store","Fruibles","Trishul Terres Anex",19.109363,73.001531,"5fff576e93911137bf14843a",400709,"Mumbai","Maharashtra","India","Trishul Terres Anex (Sector 20 ,Koperkhairane)","Fruit & Vegetable Store","Fruit & Vegetable Stores","Fruit & Vegetable Store","Sector 20 ,Koperkhairane","Sector 20 ,Koperkhairane",,,,,,,,
"Matunga","Fast Food","Mawali Bhai Dosa","Maheshwari Udyan",19.026731,72.854752,"59b7e1cf2e268050196fa3fd",400019,"Mumbai","Maharashtra","India","Maheshwari Udyan (Matunga)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Matunga","Matunga",,,,,,,,
"Churchgate","Fast Food","Shiv Sagar","Next to Mocha",18.93335145,72.82593387,"4bc419a5f8219c7472fcb610",400020,"Mumbai","Maharashtra","India","Next to Mocha (Churchgate)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Churchgate","Churchgate",,,,,,,,
"Bhabola Naka","Fast Food","McDonald's","Bhabola Naka",19.36777099,72.81646981,"542ac4ef498eb51b6a5def13",201207,"Mumbai","Maharashtra","India","Bhabola Naka (Bhabola Naka)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Bhabola Naka","Bhabola Naka",,,,,,,,
"Dahisar, Near Check Naka","Fast Food","McDonald's","National Hig. 8",19.26322727,72.87411337,"4dfcd94f483b96a3aaa73e5a",400068,"Mumbai","Maharashtra","India","National Hig. 8 (Dahisar, Near Check Naka)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Dahisar, Near Check Naka","Dahisar, Near Check Naka",,,,,,,,
"Malad West","Fast Food","Sab Kuchh Food Plaza, ","null",19.17478288,72.83692472,"52adc5de498eb00c7ebb5e02","null","Mumbai","Maharashtra","India","India","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","Malad West",,,,,,,,
"Shivar Garden","Fast Food","KFC","Shivar Garden",19.28898417,72.86492986,"52ab346111d22f5c5615f5fa","null","Mumbai","Maharashtra","India","Shivar Garden","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","Shivar Garden",,,,,,,,
"Haji Ali","Fast Food","Cabbage Patch","null",18.976974,72.815783,"5dff28ff16e40c0008649b84",400034,"Mumbai","Maharashtra","India","Mumbai 400034","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","Haji Ali",,,,,,,,
"Opp.Odeon Building","Fast Food","Patel Juice Center","Vallabh Baug Lane, Ghatkopar (E)",19.07899528,72.90904636,"4b5bf91df964a520b11f29e3",400077,"Mumbai","Maharashtra","India","Vallabh Baug Lane, Ghatkopar (E) (Opp.Odeon Building)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Opp.Odeon Building","Opp.Odeon Building",,,,,,,,
,"Fast Food","Vinay Health Home","null",18.9530109,72.82512881,"4c170b716470a59334d257d2","null","Mumbai","Maharashtra","India","India","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null",,,,,,,,,
"Santacruz East","Fast Food","jagganath chat corner","Vakola",19.08082962,72.85282898,"515d71bee4b00384f2e49c4a",400055,"Mumbai","Maharashtra","India","Vakola (Santacruz East)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Santacruz East","Santacruz East",,,,,,,,
"Charkop","Fast Food","Akkad Bakkad Bombay Boo","null",19.20122,72.84737,"5a3273ba724750721b54bb53",400067,"Mumbai","Maharashtra","India","Mumbai 400067","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","Charkop",,,,,,,,
"Tardeo","Fast Food","Maji Sagar","1,Rajani Mahal",18.97268335,72.8146832,"4bbc444951b89c743f3e872a",400034,"Mumbai","Maharashtra","India","1,Rajani Mahal (Tardeo)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Tardeo","Tardeo",,,,,,,,
"Andheri east","Fast Food","Sai krishna restaurent","Bldg no 30 sher e punjab",19.12586028,72.86139334,"4e5f4619d1640a5975d51330","null","Mumbai","Maharashtra","India","Bldg no 30 sher e punjab (Andheri east)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Andheri east","Andheri east",,,,,,,,
,"Fast Food","Tibbs/WTF Frankie","null",19.10399837,72.8315991,"50b8c7ace4b0e31c405b0e46","null","Mumbai","Maharashtra","India","India","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null",,,,,,,,,
"Hiranandani","Fast Food","Hungry Head","Kiosk No. 1, Hakone",19.12223633,72.9131495,"5428374b498e786c4835d30b",400076,"Mumbai","Maharashtra","India","Kiosk No. 1, Hakone (Central Avenue, Next To Powai Plaza, Hiranandani,)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","Central Avenue, Next To Powai Plaza, Hiranandani,","Hiranandani",,,,,,,,
"Juhu Gaon","Juice Bar","Health Juice And Fast Food","Juhu Gaon",19.08821786,73.00423373,"4d94b41ecf46224b27179b94","null","Mumbai","Maharashtra","India","Juhu Gaon","Juice Bar","Juice Bars","Juice Bar","null","Juhu Gaon",,,,,,,,
"Military Rd., Marol, Andheri (E)","Fast Food","Sip and Snacks","Military Rd., Marol, Andheri (E)",19.11715313,72.88187331,"4ecfb6b9b8f7971d69c08207",400069,"Mumbai","Maharashtra","India","Military Rd., Marol, Andheri (E)","Fast Food Restaurant","Fast Food Restaurants","Fast Food","null","Military Rd., Marol, Andheri (E)",,,,,,,,
,"Indian","Manjunath Dosa Center","null",19.08353272,72.88499161,"514e8003e4b0393581b32783","null","Mumbai","Maharashtra","India","India","Indian Restaurant","Indian Restaurants","Indian","null",,,,,,,,,
"Bandra west,","Indian","Lucky Restaurant","9 Swami Vivekanand Road",19.05404468,72.83771216,"4b0587d7f964a520d2a322e3","400 050","Mumbai","Maharashtra","India","9 Swami Vivekanand Road (Bandra west,)","Indian Restaurant","Indian Restaurants","Indian","Bandra west,","Bandra west,",,,,,,,,
"Seawoods","Vegetarian / Vegan","Navaratna Restaurant","Seawoods",19.01203743,73.01429714,"4d07912254d0236a66e4fed5","null","Mumbai","Maharashtra","India","Seawoods","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Vegetarian / Vegan","null","Seawoods",,,,,,,,
"Panchal Nagar","South Indian","Ayyappan Masala Dosa Center","null",19.37749695,72.82782311,"58973db4a8b75947f58412af",401202,"Mumbai","Maharashtra","India","Panchal Nagar","South Indian Restaurant","South Indian Restaurants","South Indian","Panchal Nagar","Panchal Nagar",,,,,,,,
"New Link Road","Indian","Hill View Restaurant","Kandarpada",19.25969148,72.85290206,"4d00cc314f56b60c2bb0a337",400068,"Mumbai","Maharashtra","India","Kandarpada (New Link Road)","Indian Restaurant","Indian Restaurants","Indian","New Link Road","New Link Road",,,,,,,,
"bandra west","Indian","Punjab Sweet House And Restaurant","pali naka",19.06255315,72.82942296,"4be958699a54a593eaee0a11","null","Mumbai","Maharashtra","India","pali naka (bandra west)","Indian Restaurant","Indian Restaurants","Indian","bandra west","bandra west",,,,,,,,
"Matunga Station Rd.","Indian","Muthuswamy's Arya Bhavan","Cawasji Patel Tank Rd.",19.02708379,72.85091208,"4b3efe7ef964a52075a325e3",400019,"Mumbai","Maharashtra","India","Cawasji Patel Tank Rd. (Matunga Station Rd.)","Indian Restaurant","Indian Restaurants","Indian","Matunga Station Rd.","Matunga Station Rd.",,,,,,,,
"Sector 17","Indian","Hotel Navratna","Nirman Vyapar Kendra,",19.07328038,72.99803374,"4cc44b8338aaa09384111262","null","Mumbai","Maharashtra","India","Nirman Vyapar Kendra, (Sector 17)","Indian Restaurant","Indian Restaurants","Indian","Sector 17","Sector 17",,,,,,,,
"Navghar Rd.","Indian","Campus Hotel","90 Ft Rd. Junction",19.168093,72.961006,"4d99f4d9b188721ed3fd4937",400081,"Mumbai","Maharashtra","India","90 Ft Rd. Junction (Navghar Rd.)","Indian Restaurant","Indian Restaurants","Indian","Navghar Rd.","Navghar Rd.",,,,,,,,
"Nagpada","Middle Eastern","Sarvi","Nagpada",18.9668525,72.82922116,"4b3728eef964a520b83f25e3","null","Mumbai","Maharashtra","India","Nagpada","Middle Eastern Restaurant","Middle Eastern Restaurants","Middle Eastern","null","Nagpada",,,,,,,,
"Netaji Subhash Chandra Bose Rd","Hotel","The Oberoi","Nariman Point",18.92710052,72.82016472,"4bb245d92397b71337ca36b3",400021,"Mumbai","Maharashtra","India","Nariman Point (Netaji Subhash Chandra Bose Rd)","Hotel","Hotels","Hotel","Netaji Subhash Chandra Bose Rd","Netaji Subhash Chandra Bose Rd",,,,,,,,
"Next to Domino's Pizza, Vashi","Multicuisine Indian","Hotel Kshir Sagar","Sector 17",19.0707398,72.99778071,"4ca856fba6e08cfa1f338e94","null","Mumbai","Maharashtra","India","Sector 17 (Next to Domino's Pizza, Vashi)","Multicuisine Indian Restaurant","Multicuisine Indian Restaurants","Multicuisine Indian","Next to Domino's Pizza, Vashi","Next to Domino's Pizza, Vashi",,,,,,,,
"Central Avenue","Indian","Mantra","Powai",19.12328418,72.91292698,"4d393ec4f8e0a09339678467",400076,"Mumbai","Maharashtra","India","Powai (Central Avenue)","Indian Restaurant","Indian Restaurants","Indian","Central Avenue","Central Avenue",,,,,,,,
"next to tulip star","Seafood","Mahesh Lunch Home","Juhu Tara Rd, Juhu",19.10367994,72.82679442,"4d04fc8b30a58cfaead2a2e7",400049,"Mumbai","Maharashtra","India","Juhu Tara Rd, Juhu (next to tulip star)","Seafood Restaurant","Seafood Restaurants","Seafood","next to tulip star","next to tulip star",,,,,,,,
"Kalamboli","Indian","Mirchi Hotel","null",19.026886,73.10149,"5bd975cedd70c5002c8383bb",410218,"Mumbai","Maharashtra","India","Navi Mumbai 410218","Indian Restaurant","Indian Restaurants","Indian","null","Kalamboli",,,,,,,,
"Tardeo","Vegetarian / Vegan","Nanumal Bhojraj","Opp. Ganga Jamuna",18.96891215,72.81511955,"4eca6aa26c251306ced4eece","null","Mumbai","Maharashtra","India","Opp. Ganga Jamuna (Tardeo)","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Vegetarian / Vegan","Tardeo","Tardeo",,,,,,,,
"Mahim","Vegetarian / Vegan","Shobha Restaurant","Mahim",19.03166031,72.84200412,"4eb946a393ad236571c61e11","null","Mumbai","Maharashtra","India","Mahim","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Vegetarian / Vegan","null","Mahim",,,,,,,,
"Girgaum","Vegetarian / Vegan","Nityanand Hotel","prathna samaj",18.95738465,72.81951462,"4e3e0f5fd4c058f9dc0eb373",400004,"Mumbai","Maharashtra","India","prathna samaj (Girgaum)","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurants","Vegetarian / Vegan","Girgaum","Girgaum",,,,,,,,
"Bandra (West),","South Indian","Madras Diaries","Shop No.7, Ground Floor, Muzaffar Manor,",19.05998185,72.83401594,"59d7be5f3fcee87d2a5d5226",400050,"Mumbai","Maharashtra","India","Shop No.7, Ground Floor, Muzaffar Manor, (117 Waterfield Road, Linking Road, Bandra (West),)","South Indian Restaurant","South Indian Restaurants","South Indian","117 Waterfield Road, Linking Road, Bandra (West),","Bandra (West),",,,,,,,,
,"Indian","Sanjog Wine N Dine","null",19.27276804,72.96481951,"4e9048670aafb4070bdd5baa","null","Mumbai","Maharashtra","India","India","Indian Restaurant","Indian Restaurants","Indian","null",,,,,,,,,
"Seawoods Grand Central 2nd Floor","North Indian","Northern Tadka","Seawoods Grand Central 2nd Floor",19.020885,73.01894,"59f8964ef00a7056ed567571",400706,"Mumbai","Maharashtra","India","Seawoods Grand Central 2nd Floor","North Indian Restaurant","North Indian Restaurants","North Indian","null","Seawoods Grand Central 2nd Floor",,,,,,,,
,"Indian","Sai Touch","null",19.19210924,72.95510232,"564ae070498ee9d5a5930d41","null","Mumbai","Maharashtra","India","India","Indian Restaurant","Indian Restaurants","Indian","null",,,,,,,,,
"M.S. Road","Indian","Al Rehmani","M.S. Road",18.96184298,72.83181784,"4c8126a52f1c236af5ea2c43",400003,"Mumbai","Maharashtra","India","M.S. Road","Indian Restaurant","Indian Restaurants","Indian","null","M.S. Road",,,,,,,,
"Th?ne 400601","Indian","Chulha Village","null",19.258621,72.976193,"5b5c1c6146e1b6002cefb27c",400601,"Mumbai","Maharashtra","India","Th?ne 400601","Indian Restaurant","Indian Restaurants","Indian","null","Th?ne 400601",,,,,,,,
"Sion","Indian","Shabari Restaurant","Sion",19.03949471,72.86167387,"4eb24c955c5cd1bad41d103c",400022,"Mumbai","Maharashtra","India","Sion","Indian Restaurant","Indian Restaurants","Indian","null","Sion",,,,,,,,
"L.J Road, Mahim,","Indian","Potoba","3 & 4 , Amin Manzil,",19.03250237,72.8421579,"513220afe4b018c1bb2760a6",400016,"Mumbai","Maharashtra","India","3 & 4 , Amin Manzil, (L.J Road, Mahim,)","Indian Restaurant","Indian Restaurants","Indian","L.J Road, Mahim,","L.J Road, Mahim,",,,,,,,,
"Ghatkopar E","Indian","Shree Gurukripa","Tilak Road",19.07990203,72.90610176,"4e11f7a26284edb6badc0c42","null","Mumbai","Maharashtra","India","Tilak Road (Ghatkopar E)","Indian Restaurant","Indian Restaurants","Indian","Ghatkopar E","Ghatkopar E",,,,,,,,
"Opp. Princess Dock","Indian","Main Gate Restaurant","61, P D'Mello Road",18.95429276,72.84211946,"4f570e23e4b0d00bd5ef17aa",400009,"Mumbai","Maharashtra","India","61, P D'Mello Road (Opp. Princess Dock)","Indian Restaurant","Indian Restaurants","Indian","Opp. Princess Dock","Opp. Princess Dock",,,,,,,,
"Bellasis road","Indian","Arabia Restraunt","Near BEST depot",18.96903422,72.82426538,"4dc11dfb1f6e7441cf45d814","null","Mumbai","Maharashtra","India","Near BEST depot (Bellasis road)","Indian Restaurant","Indian Restaurants","Indian","Bellasis road","Bellasis road",,,,,,,,
"J.B. Nagar","Indian","Malhar Tribes","null",19.111517,72.879621,"5a33faca65cdf834540aaa24",400059,"Mumbai","Maharashtra","India","Mumbai 400059","Indian Restaurant","Indian Restaurants","Indian","null","J.B. Nagar",,,,,,,,
"Thakur Village, Kandivali (E)","Indian","Nirvana Restaurant (Veg)","Thakur Village, Kandivali (E)",19.21186604,72.87321136,"4bdd7fa317fdef3b85814e36",400101,"Mumbai","Maharashtra","India","Thakur Village, Kandivali (E)","Indian Restaurant","Indian Restaurants","Indian","null","Thakur Village, Kandivali (E)",,,,,,,,
"Naupada","Indian","Moni's Restaurant","Naupada",19.18792991,72.96742949,"4dce23f4fa7664b7c6a0f055","null","Mumbai","Maharashtra","India","Naupada","Indian Restaurant","Indian Restaurants","Indian","null","Naupada",,,,,,,,
,"Indian","Shahi Pakwan","null",19.28512622,72.85666251,"507ae068e4b08ac08ebb6137","null","Mumbai","Maharashtra","India","India","Indian Restaurant","Indian Restaurants","Indian","null",,,,,,,,,
,"Indian","Ruchi Hotel","null",19.16923677,72.95913341,"51d6b7d8498ea5b10e8efd3f","null","Mumbai","Maharashtra","India","India","Indian Restaurant","Indian Restaurants","Indian","null",,,,,,,,,
"G BLOCK","Bar","Butterfly High","G BLOCK",19.058851,72.865166,"5b2fb68d81a0ea002cf7c930","null","Mumbai","Maharashtra","India","G BLOCK","Bar","Bars","Bar","null","G BLOCK",,,,,,,,
"Dadar","Maharashtrian","Gomantak Restaurant","N.C.Kelkar Road",19.02305993,72.84220294,"4c8c72e6f87e224b99603505",400028,"Mumbai","Maharashtra","India","N.C.Kelkar Road (Dadar)","Maharashtrian Restaurant","Maharashtrian Restaurants","Maharashtrian","Dadar","Dadar",,,,,,,,
"Kurla West","Restaurant","khan�s flavour","null",19.078135,72.880307,"5e0c7926c0f2380008439130",400070,"Mumbai","Maharashtra","India","Kurla West","Restaurant","Restaurants","Restaurant","null","Kurla West",,,,,,,,
"Shivaji Park","Bakery","Oven Fresh","68 Kiran building",19.02396241,72.8379116,"4bf949e6c07c9c74c000bcef",400028,"Mumbai","Maharashtra","India","68 Kiran building (Shivaji Park)","Bakery","Bakeries","Bakery","Shivaji Park","Shivaji Park",,,,,,,,
"Nowroji Ferdonji Road","Caf�","Leopold Caf�","Shahid Bhagat Singh Road, Colaba",18.9228279,72.83170854,"4ce68ea5f1c6236a571f54f0",400039,"Mumbai","Maharashtra","India","Shahid Bhagat Singh Road, Colaba (Nowroji Ferdonji Road)","Caf�","Caf�s","Caf�","Nowroji Ferdonji Road","Nowroji Ferdonji Road",,,,,,,,
"Near Amar Mahal, Chembur- Ghatkopar","Restaurant","IVY Restaurant & Banquets","Above Shoppers' Stop",19.06966329,72.90053496,"4dc6a998b0fb5556cd0e99a2",400089,"Mumbai","Maharashtra","India","Above Shoppers' Stop (Near Amar Mahal, Chembur- Ghatkopar)","Restaurant","Restaurants","Restaurant","Near Amar Mahal, Chembur- Ghatkopar","Near Amar Mahal, Chembur- Ghatkopar",,,,,,,,
"Behind SAB TV Lane","Caf�","Bistro 1 Cafe","Shop 9, Mayfair Building, Oberoi Raviraj Complex, Off Andheri Link Road, Lokhandwala, Andheri W",19.13665644,72.82913638,"515b06fee4b09b4ddd1b2407",400053,"Mumbai","Maharashtra","India","Shop 9, Mayfair Building, Oberoi Raviraj Complex, Off Andheri Link Road, Lokhandwala, Andheri W (Behind SAB TV Lane)","Caf�","Caf�s","Caf�","Behind SAB TV Lane","Behind SAB TV Lane",,,,,,,,
"Nerul","BBQ","Barbeque Nation","1st Floor, 20, Beverley Park, Sector 6, Above ICICI Bank, Palm Beach Road, Nerul, Navi Mumbai",19.04382698,73.0087128,"4e29d25281dc3da11a7c119a",400706,"Mumbai","Maharashtra","India","1st Floor, 20, Beverley Park, Sector 6, Above ICICI Bank, Palm Beach Road, Nerul, Navi Mumbai","BBQ Joint","BBQ Joints","BBQ","null","Nerul",,,,,,,,
"Godrej BKC, Ground Floor","Brewery","Gateway Taproom","Bandra Kurla Complex Road",19.05918038,72.86497565,"59872e0af5e9d70849322c3a",400051,"Mumbai","Maharashtra","India","Bandra Kurla Complex Road (Godrej BKC, Ground Floor)","Brewery","Breweries","Brewery","Godrej BKC, Ground Floor","Godrej BKC, Ground Floor",,,,,,,,
"IA Project Road","Restaurant","J W Cafe","JW Marriott Mumbai Sahara",19.10321178,72.87750391,"54a3b679498ef4dcbbf3ce69",400069,"Mumbai","Maharashtra","India","JW Marriott Mumbai Sahara (IA Project Road)","Restaurant","Restaurants","Restaurant","IA Project Road","IA Project Road",,,,,,,,
"Andheri East","Restaurant","Merchant House - Nikhils Kitchen","null",19.12117154,72.85203863,"4e92fe61be7bf17dd693a355",400069,"Mumbai","Maharashtra","India",400069,"Restaurant","Restaurants","Restaurant","null","Andheri East",,,,,,,,
"Bandra West","Restaurant","Gondola's","Pali market",19.06272486,72.82817685,"4b0587daf964a52039a422e3","400 050","Mumbai","Maharashtra","India","Pali market (Pali Mala Road)","Restaurant","Restaurants","Restaurant","Pali Mala Road","Bandra West",,,,,,,,
"Colaba.","Cocktail","Colaba Social","The Social, behind Hotel Taj Mahal, next to Hotel Diplomat colaba.",18.92169952,72.83246678,"53dd1754498eb78b8c2fb35e",400001,"Mumbai","Maharashtra","India","The Social, behind Hotel Taj Mahal, next to Hotel Diplomat colaba.","Cocktail Bar","Cocktail Bars","Cocktail","null","Colaba.",,,,,,,,
"Off Vasai-Bhiwandi Highway","Restaurant","Bhajansons Dairy Farm","Kaman Village",19.38018937,72.89866569,"4c710f50b3ce224bea9a75c6","null","Mumbai","Maharashtra","India","Kaman Village (Off Vasai-Bhiwandi Highway)","Restaurant","Restaurants","Restaurant","Off Vasai-Bhiwandi Highway","Off Vasai-Bhiwandi Highway",,,,,,,,
"462, Senapati Bapat Marg","Restaurant","Seven Kitchens","462, Senapati Bapat Marg",18.99386853,72.82421184,"517408ede4b0773c6877f349",400013,"Mumbai","Maharashtra","India","462, Senapati Bapat Marg","Restaurant","Restaurants","Restaurant","null","462, Senapati Bapat Marg",,,,,,,,
"Oshiwara, Andheri West","Bar","Woodside","New Link Plaza, Next to Oshiwara Police Station, Oshiwara, Andheri West, Mumbai",19.1481975,72.83141948,"4e84ab1649012a836352d285","null","Mumbai","Maharashtra","India","New Link Plaza, Next to Oshiwara Police Station, Oshiwara, Andheri West, Mumbai","Bar","Bars","Bar","null","Oshiwara, Andheri West",,,,,,,,
"Worli","Bar","Asilo - St. Regis","462, Senapati Bapat Marg",18.99422824,72.82385971,"52b1c754498e35791ff1eb35",400013,"Mumbai","Maharashtra","India","462, Senapati Bapat Marg","Bar","Bars","Bar","null","Worli",,,,,,,,
"Seawoods","Restaurant","Prithi hotel","Seawoods",19.01475997,73.01543444,"4ee5e951a17ceecb16246bc7",400706,"Mumbai","Maharashtra","India","Seawoods","Restaurant","Restaurants","Restaurant","null","Seawoods",,,,,,,,
"Nariman Point","Restaurant","Arya Bhavan","null",18.924417,72.8242,"5b374a4789ad46002462af81",400021,"Mumbai","Maharashtra","India","Mumbai 400021","Restaurant","Restaurants","Restaurant","null","Nariman Point",,,,,,,,
"link road","Restaurant","The Food Studio","link road",19.183271,72.83609,"5ff73bd80ee49705b1406cd0",400064,"Mumbai","Maharashtra","India","link road","Restaurant","Restaurants","Restaurant","null","link road",,,,,,,,
"Liberty Garden","Restaurant","Red Turtle","null",19.181158,72.83632,"5be5c09c4940bc002c0da331",400064,"Mumbai","Maharashtra","India","Mumbai 400064","Restaurant","Restaurants","Restaurant","null","Liberty Garden",,,,,,,,
"Jogeshwari West","Restaurant","Arbour 28","null",19.139135,72.83339,"5c604ccebf7dde002c5c14a2",400102,"Mumbai","Maharashtra","India","Mumbai 400102","Restaurant","Restaurants","Restaurant","null","Jogeshwari West",,,,,,,,
"Palladium","Restaurant","Bayroute","Palladium",18.994173,72.82449,"5d7bced8d1334200088ea65b",400013,"Mumbai","Maharashtra","India","Palladium","Restaurant","Restaurants","Restaurant","null","Palladium",,,,,,,,
"G block","Restaurant","Sant� Spa Cuisine","G block",19.068495,72.87028,"5b42269b3092be002c850375",400051,"Mumbai","Maharashtra","India","G block","Restaurant","Restaurants","Restaurant","null","G block",,,,,,,,
,"Restaurant","Veggies. Annex","null",19.269999,72.96488,"59fee3ae7247505ab3100880","null","Mumbai","Maharashtra","India","India","Restaurant","Restaurants","Restaurant","null",,,,,,,,,
